MERCADO;MERCADO_GN
EJE CAFETERO TRADICIONALES;EJE CAFETERO TRADICIONALES
CENTRO SUP MIN TRA;CENTRO SUP MIN TRA
NEW CENTRO SUP MIN TRA 72;NEW CENTRO SUP MIN TRA 72
CENTRO CAP SUP MIN TRA;CENTRO CAP SUP MIN TRA
NEW CENTRO CAP SUP MIN TRA 72;NEW CENTRO CAP SUP MIN TRA 72
CENTRO OTROS MUN SUP MIN TRA;CENTRO OTROS MUN SUP MIN TRA
NEW CENTRO OTROS MUN SUP MIN TRA 72;NEW CENTRO OTROS MUN SUP MIN TRA 72
CENTRO AUTOSERVICIO;CENTRO AUTOSERVICIO
NEW CENTRO AUTOSERVICIO 72;NEW CENTRO AUTOSERVICIO 72
CENTRO SUPER CADENA;CENTRO SUPER CADENA
NEW CENTRO SUPER CADENA 72;NEW CENTRO SUPER CADENA 72
CENTRO HIPERMERCADOS;CENTRO HIPERMERCADOS
CENTRO OTROS SUPER CADENA;CENTRO OTROS SUPER CADENA
NEW CENTRO OTROS SUPER CADENA 72;NEW CENTRO OTROS SUPER CADENA 72
CENTRO SUPERETES SUP MIN;CENTRO SUPERETES SUP MIN
CENTRO MINIMERCADOS;CENTRO MINIMERCADOS
CENTRO TRAD MINI;CENTRO TRAD MINI
CENTRO TRADICIONALES;CENTRO TRADICIONALES
LLANOS SUP MIN TRA;LLANOS SUP MIN TRA
NEW LLANOS SUP MIN TRA 72;NEW LLANOS SUP MIN TRA 72
LLANOS CAP SUP MIN TRA;LLANOS CAP SUP MIN TRA
NEW LLANOS CAP SUP MIN TRA 72;NEW LLANOS CAP SUP MIN TRA 72
LLANOS OTROS MUN SUP MIN TRA;LLANOS OTROS MUN SUP MIN TRA
NEW LLANOS OTROS MUN SUP MIN TRA 72;NEW LLANOS OTROS MUN SUP MIN TRA 72
LLANOS AUTOSERVICIO;LLANOS AUTOSERVICIO
NEW LLANOS AUTOSERVICIO 72;NEW LLANOS AUTOSERVICIO 72
LLANOS SUPER CADENA;LLANOS SUPER CADENA
NEW LLANOS SUPER CADENA 72;NEW LLANOS SUPER CADENA 72
LLANOS HIPERMERCADOS;LLANOS HIPERMERCADOS
LLANOS OTROS SUPER CADENA;LLANOS OTROS SUPER CADENA
NEW LLANOS OTROS SUPER CADENA 72;NEW LLANOS OTROS SUPER CADENA 72
LLANOS SUPERETES SUP MIN;LLANOS SUPERETES SUP MIN
LLANOS MINIMERCADOS;LLANOS MINIMERCADOS
LLANOS TRAD MINI;LLANOS TRAD MINI
LLANOS TRADICIONALES;LLANOS TRADICIONALES
PACIFICO SUP MIN TRA;PACIFICO SUP MIN TRA
NEW PACIFICO SUP MIN TRA 72;NEW PACIFICO SUP MIN TRA 72
PACIFICO CAP SUP MIN TRA;PACIFICO CAP SUP MIN TRA
NEW PACIFICO CAP SUP MIN TRA 72;NEW PACIFICO CAP SUP MIN TRA 72
PACIFICO OTROS MUN SUP MIN TRA;PACIFICO OTROS MUN SUP MIN TRA
NEW PACIFICO OTROS MUN SUP MIN TRA 72;NEW PACIFICO OTROS MUN SUP MIN TRA 72
PACIFICO AUTOSERVICIO;PACIFICO AUTOSERVICIO
NEW PACIFICO AUTOSERVICIO 72;NEW PACIFICO AUTOSERVICIO 72
PACIFICO SUPER CADENA;PACIFICO SUPER CADENA
NEW PACIFICO SUPER CADENA 72;NEW PACIFICO SUPER CADENA 72
PACIFICO HIPERMERCADOS;PACIFICO HIPERMERCADOS
PACIFICO OTROS SUPER CADENA;PACIFICO OTROS SUPER CADENA
NEW PACIFICO OTROS SUPER CADENA 72;NEW PACIFICO OTROS SUPER CADENA 72
PACIFICO SUPERETES SUP MIN;PACIFICO SUPERETES SUP MIN
PACIFICO MINIMERCADOS;PACIFICO MINIMERCADOS
PACIFICO TRAD MINI;PACIFICO TRAD MINI
PACIFICO TRADICIONALES;PACIFICO TRADICIONALES
DPTO VALLE PACIFICO SUP MIN TRA;DPTO VALLE PACIFICO SUP MIN TRA
NEW DPTO VALLE PACIFICO SUP MIN TRA 72;NEW DPTO VALLE PACIFICO SUP MIN TRA 72
CAUCA NARINO PACIFICO SUP MIN TRA;CAUCA NARINO PACIFICO SUP MIN TRA
NEW CAUCA NARINO PACIFICO SUP MIN TRA 72;NEW CAUCA NARINO PACIFICO SUP MIN TRA 72
BOGOTA SUP MIN TRA;BOGOTA SUP MIN TRA
NEW BOGOTA SUP MIN TRA 72;NEW BOGOTA SUP MIN TRA 72
CALI SUP MIN TRA;CALI SUP MIN TRA
NEW CALI SUP MIN TRA 72;NEW CALI SUP MIN TRA 72
CARTAGENA METRO SUP MIN TRA;CARTAGENA METRO SUP MIN TRA
NEW CARTAGENA METRO SUP MIN TRA 72;NEW CARTAGENA METRO SUP MIN TRA 72
CUCUTA METRO SUP MIN TRA;CUCUTA METRO SUP MIN TRA
NEW CUCUTA METRO SUP MIN TRA 72;NEW CUCUTA METRO SUP MIN TRA 72
IBAGUE METRO SUP MIN TRAD;IBAGUE METRO SUP MIN TRAD
NEW IBAGUE METRO SUP MIN TRAD 72;NEW IBAGUE METRO SUP MIN TRAD 72
MEDELLIN SUP MIN TRA;MEDELLIN SUP MIN TRA
NEW MEDELLIN SUP MIN TRA 72;NEW MEDELLIN SUP MIN TRA 72
10 CIUDADES METRO SUP MIN TRA;10 CIUDADES METRO SUP MIN TRA
NEW 10 CIUDADES METRO SUP MIN TRA 72;NEW 10 CIUDADES METRO SUP MIN TRA 72
B/QUILLA SUP MIN TRA;B/QUILLA SUP MIN TRA
NEW B/QUILLA SUP MIN TRA 72;NEW B/QUILLA SUP MIN TRA 72
B/QUILLA METRO SUP MIN TRA;B/QUILLA METRO SUP MIN TRA
NEW B/QUILLA METRO SUP MIN TRA 72;NEW B/QUILLA METRO SUP MIN TRA 72
BOGOTA METRO SUP MIN TRA;BOGOTA METRO SUP MIN TRA
NEW BOGOTA METRO SUP MIN TRA 72;NEW BOGOTA METRO SUP MIN TRA 72
BUCARAMANGA METRO SUP MIN TRA;BUCARAMANGA METRO SUP MIN TRA
