MERCADO;MERCADO_GN
TOTAL BOGOTA;TOTAL BOGOTA
TOTAL BOGOTA NORTE;TOTAL BOGOTA NORTE
TOTAL BOGOTA OCCIDENTE;TOTAL BOGOTA OCCIDENTE
TOTAL BOGOTA ORIENTE;TOTAL BOGOTA ORIENTE
TOTAL BOGOTA SUR;TOTAL BOGOTA SUR
TOTAL MEDELLIN;TOTAL MEDELLIN
TOTAL MEDELLIN CENTRO;TOTAL MEDELLIN CENTRO
TOTAL MEDELLIN NORTE;TOTAL MEDELLIN NORTE
TOTAL MEDELLIN SUR;TOTAL MEDELLIN SUR
NEW MEDELLIN NORTE;NEW MEDELLIN NORTE
NEW MEDELLIN SUR;NEW MEDELLIN SUR
NEW MEDELLIN CENTRO;NEW MEDELLIN CENTRO
TOTAL CALI;TOTAL CALI
TOTAL CALI NORTE;TOTAL CALI NORTE
TOTAL CALI ORIENTE;TOTAL CALI ORIENTE
TOTAL CALI SUR;TOTAL CALI SUR
TOTAL BARRANQUILLA;TOTAL BARRANQUILLA
TOTAL BARRANQUILLA OCCIDENTE;TOTAL BARRANQUILLA OCCIDENTE
TOTAL BARRANQUILLA ORIENTE;TOTAL BARRANQUILLA ORIENTE
NEW B/QUILLA;NEW B/QUILLA
NEW B/QUILLA OCCIDENTE;NEW B/QUILLA OCCIDENTE
NEW B/QUILLA ORIENTE;NEW B/QUILLA ORIENTE
NEW TOTAL BOGOTA METRO HEL;NEW TOTAL BOGOTA METRO HEL
NEW TOTAL BARRANQUILLA METRO HEL;NEW TOTAL BARRANQUILLA METRO HEL
NEW TOTAL BUCARAMANGA METRO HEL;NEW TOTAL BUCARAMANGA METRO HEL
NEW TOTAL CALI METRO METRO HEL;NEW TOTAL CALI METRO METRO HEL
NEW TOTAL MEDELLIN METRO HEL;NEW TOTAL MEDELLIN METRO HEL
NEW TOTAL CARTAGENA METRO HEL;NEW TOTAL CARTAGENA METRO HEL
NEW TOTAL CUCUTA METRO HEL;NEW TOTAL CUCUTA METRO HEL
NEW TOTAL IBAGUE METRO HEL;NEW TOTAL IBAGUE METRO HEL
NEW TOTAL PEREIRA METRO HEL;NEW TOTAL PEREIRA METRO HEL
NEW TOTAL VILLAVICENCIO METRO HEL 3C;NEW TOTAL VILLAVICENCIO METRO HEL 3C
NEW BOGOTA NORTE;NEW BOGOTA NORTE
NEW BOGOTA ORIENTE;NEW BOGOTA ORIENTE
NEW BOGOTA OCCIDENTE;NEW BOGOTA OCCIDENTE
NEW BOGOTA SUR;NEW BOGOTA SUR
NEW CALI NORTE;NEW CALI NORTE
NEW CALI ORIENTE;NEW CALI ORIENTE
NEW CALI SUR;NEW CALI SUR
RESTO C/MARCA SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;RESTO C/MARCA SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
BOYACA SUP MIN TRAD LIC KIO CAJ BAR REST CAF/PAN;BOYACA SUP MIN TRAD LIC KIO CAJ BAR REST CAF/PAN
C/MARCA SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;C/MARCA SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
ANTIOQUIACHOCO DISCOUNTERS;ANTIOQUIACHOCO DISCOUNTERS
EJE CAFETERO DISCOUNTERS;EJE CAFETERO DISCOUNTERS
PACIFICO DISCOUNTERS;PACIFICO DISCOUNTERS
SANTANDERES DISCOUNTERS;SANTANDERES DISCOUNTERS
NEW RESTO C/MARCA SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW RESTO C/MARCA SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
NEW C/MARCA SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW C/MARCA SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
NEW BOYACA SUP MIN TRAD LIC KIO CAJ BAR REST CAF/PAN 72;NEW BOYACA SUP MIN TRAD LIC KIO CAJ BAR REST CAF/PAN 72
PANAMA/BOCAS DEL TORO/SUPERMERCADOS CADENAS/SUPERMERCADO/GRUPO REY/ROMERO;PANAMA/BOCAS DEL TORO/SUPERMERCADOS CADENAS/SUPERMERCADO/GRUPO REY/ROMERO
PANAMA/BOCAS DEL TORO/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER XTRA/SUPER XTRA;PANAMA/BOCAS DEL TORO/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER XTRA/SUPER XTRA
PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/DESCUENTO/GRUPO REY/MR PRECIO;PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/DESCUENTO/GRUPO REY/MR PRECIO
PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/HIPERMERCADO/SUPER XTRA/SUPER XTRA;PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/HIPERMERCADO/SUPER XTRA/SUPER XTRA
PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADO/GRUPO REY/REY;PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADO/GRUPO REY/REY
PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADO/GRUPO REY/ROMERO;PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADO/GRUPO REY/ROMERO
PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER 99/SUPER 99;PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER 99/SUPER 99
PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER XTRA/SUPER XTRA;PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER XTRA/SUPER XTRA
PANAMA/COCLE/SUPERMERCADOS CADENAS/HIPERMERCADO/MACHETAZO/MACHETAZO;PANAMA/COCLE/SUPERMERCADOS CADENAS/HIPERMERCADO/MACHETAZO/MACHETAZO
PANAMA/COCLE/SUPERMERCADOS CADENAS/HIPERMERCADO/SUPER XTRA/SUPER XTRA;PANAMA/COCLE/SUPERMERCADOS CADENAS/HIPERMERCADO/SUPER XTRA/SUPER XTRA
PANAMA/COCLE/SUPERMERCADOS CADENAS/SUPERMERCADO/GRUPO REY/REY;PANAMA/COCLE/SUPERMERCADOS CADENAS/SUPERMERCADO/GRUPO REY/REY
PANAMA/COCLE/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER 99/SUPER 99;PANAMA/COCLE/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER 99/SUPER 99
PANAMA/COCLE/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER CARNES/SUPER CARNES;PANAMA/COCLE/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER CARNES/SUPER CARNES
PANAMA/COCLE/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER XTRA/SUPER XTRA;PANAMA/COCLE/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER XTRA/SUPER XTRA
PANAMA/COLON/SUPERMERCADOS CADENAS/HIPERMERCADO/SUPER XTRA/SUPER XTRA;PANAMA/COLON/SUPERMERCADOS CADENAS/HIPERMERCADO/SUPER XTRA/SUPER XTRA
PANAMA/COLON/SUPERMERCADOS CADENAS/SUPERMERCADO/GRUPO REY/REY;PANAMA/COLON/SUPERMERCADOS CADENAS/SUPERMERCADO/GRUPO REY/REY
PANAMA/COLON/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER 99/SUPER 99;PANAMA/COLON/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER 99/SUPER 99
PANAMA/COLON/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER XTRA/SUPER XTRA;PANAMA/COLON/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER XTRA/SUPER XTRA
PANAMA/HERRERA/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY/METRO PLUS;PANAMA/HERRERA/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY/METRO PLUS
PANAMA/HERRERA/SUPERMERCADOS CADENAS/HIPERMERCADO/MACHETAZO/MACHETAZO;PANAMA/HERRERA/SUPERMERCADOS CADENAS/HIPERMERCADO/MACHETAZO/MACHETAZO
PANAMA/HERRERA/SUPERMERCADOS CADENAS/HIPERMERCADO/SUPER XTRA/SUPER XTRA;PANAMA/HERRERA/SUPERMERCADOS CADENAS/HIPERMERCADO/SUPER XTRA/SUPER XTRA
PANAMA/HERRERA/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER 99/SUPER 99;PANAMA/HERRERA/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER 99/SUPER 99
PANAMA/HERRERA/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER CARNES/SUPER CARNES;PANAMA/HERRERA/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER CARNES/SUPER CARNES
PANAMA/LOS SANTOS/SUPERMERCADOS CADENAS/DESCUENTO/GRUPO REY/MR PRECIO;PANAMA/LOS SANTOS/SUPERMERCADOS CADENAS/DESCUENTO/GRUPO REY/MR PRECIO
PANAMA/LOS SANTOS/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER CARNES/SUPER CARNES;PANAMA/LOS SANTOS/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER CARNES/SUPER CARNES
PANAMA/LOS SANTOS/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER XTRA/SUPER XTRA;PANAMA/LOS SANTOS/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER XTRA/SUPER XTRA
PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY/METRO PLUS;PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY/METRO PLUS
PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/DESCUENTO/GRUPO REY/MR PRECIO;PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/DESCUENTO/GRUPO REY/MR PRECIO
PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/HIPERMERCADO/MACHETAZO/MACHETAZO;PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/HIPERMERCADO/MACHETAZO/MACHETAZO
PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/HIPERMERCADO/SUPER XTRA/SUPER XTRA;PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/HIPERMERCADO/SUPER XTRA/SUPER XTRA
PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADO/GRUPO REY/REY;PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADO/GRUPO REY/REY
PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER 99/SUPER 99;PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER 99/SUPER 99
PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER CARNES/SUPER CARNES;PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER CARNES/SUPER CARNES
PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER XTRA/SUPER XTRA;PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER XTRA/SUPER XTRA
PANAMA/PANAMA/SUPERMERCADOS CADENAS/CLUB/SUPER 99/SUPER 99;PANAMA/PANAMA/SUPERMERCADOS CADENAS/CLUB/SUPER 99/SUPER 99
PANAMA/PANAMA/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY/METRO PLUS;PANAMA/PANAMA/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY/METRO PLUS
PANAMA/PANAMA/SUPERMERCADOS CADENAS/CONVENIENCIA/MACHETAZO/MACHETAZO;PANAMA/PANAMA/SUPERMERCADOS CADENAS/CONVENIENCIA/MACHETAZO/MACHETAZO
PANAMA/PANAMA/SUPERMERCADOS CADENAS/DESCUENTO/GRUPO REY/MR PRECIO;PANAMA/PANAMA/SUPERMERCADOS CADENAS/DESCUENTO/GRUPO REY/MR PRECIO
PANAMA/PANAMA/SUPERMERCADOS CADENAS/HIPERMERCADO/MACHETAZO/MACHETAZO;PANAMA/PANAMA/SUPERMERCADOS CADENAS/HIPERMERCADO/MACHETAZO/MACHETAZO
PANAMA/PANAMA/SUPERMERCADOS CADENAS/HIPERMERCADO/SUPER XTRA/SUPER XTRA;PANAMA/PANAMA/SUPERMERCADOS CADENAS/HIPERMERCADO/SUPER XTRA/SUPER XTRA
PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADO/GRUPO REY/REY;PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADO/GRUPO REY/REY
PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADO/MACHETAZO/MACHETAZO;PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADO/MACHETAZO/MACHETAZO
PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER 99/SUPER 99;PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER 99/SUPER 99
PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER XTRA/SUPER XTRA;PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER XTRA/SUPER XTRA
PANAMA/VERAGUAS/SUPERMERCADOS CADENAS/HIPERMERCADO/MACHETAZO/MACHETAZO;PANAMA/VERAGUAS/SUPERMERCADOS CADENAS/HIPERMERCADO/MACHETAZO/MACHETAZO
PANAMA/VERAGUAS/SUPERMERCADOS CADENAS/SUPERMERCADO/GRUPO REY/REY;PANAMA/VERAGUAS/SUPERMERCADOS CADENAS/SUPERMERCADO/GRUPO REY/REY
PANAMA/VERAGUAS/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER 99/SUPER 99;PANAMA/VERAGUAS/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER 99/SUPER 99
PANAMA/VERAGUAS/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER CARNES/SUPER CARNES;PANAMA/VERAGUAS/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER CARNES/SUPER CARNES
PANAMA/VERAGUAS/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER XTRA/SUPER XTRA;PANAMA/VERAGUAS/SUPERMERCADOS CADENAS/SUPERMERCADO/SUPER XTRA/SUPER XTRA
PANAMA/BOCAS DEL TORO/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/ROMERO;PANAMA/BOCAS DEL TORO/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/ROMERO
PANAMA/BOCAS DEL TORO/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER EXTRA DN/SUPER XTRA;PANAMA/BOCAS DEL TORO/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER EXTRA DN/SUPER XTRA
PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/DESCUENTOS/GRUPO REY DN/MR PRECIO;PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/DESCUENTOS/GRUPO REY DN/MR PRECIO
PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/DESCUENTOS/SUPER EXTRA DN/SUPER XTRA;PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/DESCUENTOS/SUPER EXTRA DN/SUPER XTRA
PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY;PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY
PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/ROMERO;PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/ROMERO
PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER 99 DN/SUPER 99;PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER 99 DN/SUPER 99
PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER EXTRA DN/SUPER XTRA;PANAMA/CHIRIQUI/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER EXTRA DN/SUPER XTRA
PANAMA/COCLE/SUPERMERCADOS CADENAS/HIPERMERCADO/MACHETAZO DN/MACHETAZO;PANAMA/COCLE/SUPERMERCADOS CADENAS/HIPERMERCADO/MACHETAZO DN/MACHETAZO
PANAMA/COCLE/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY;PANAMA/COCLE/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY
PANAMA/COCLE/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER 99 DN/SUPER 99;PANAMA/COCLE/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER 99 DN/SUPER 99
PANAMA/COCLE/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER CARNES DN/SUPER CARNES;PANAMA/COCLE/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER CARNES DN/SUPER CARNES
PANAMA/COCLE/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER EXTRA DN/SUPER XTRA;PANAMA/COCLE/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER EXTRA DN/SUPER XTRA
PANAMA/COL0N/SUPERMERCADOS CADENAS/DESCUENTOS/SUPER EXTRA DN/SUPER XTRA;PANAMA/COL0N/SUPERMERCADOS CADENAS/DESCUENTOS/SUPER EXTRA DN/SUPER XTRA
PANAMA/COL0N/SUPERMERCADOS CADENAS/HIPERMERCADO/SUPER EXTRA DN/SUPER XTRA;PANAMA/COL0N/SUPERMERCADOS CADENAS/HIPERMERCADO/SUPER EXTRA DN/SUPER XTRA
PANAMA/COL0N/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY;PANAMA/COL0N/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY
PANAMA/COL0N/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER 99 DN/SUPER 99;PANAMA/COL0N/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER 99 DN/SUPER 99
PANAMA/HERRERA/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY DN/METRO PLUS;PANAMA/HERRERA/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY DN/METRO PLUS
PANAMA/HERRERA/SUPERMERCADOS CADENAS/DESCUENTOS/MACHETAZO DN/MACHETAZO;PANAMA/HERRERA/SUPERMERCADOS CADENAS/DESCUENTOS/MACHETAZO DN/MACHETAZO
PANAMA/HERRERA/SUPERMERCADOS CADENAS/DESCUENTOS/SUPER EXTRA DN/SUPER XTRA;PANAMA/HERRERA/SUPERMERCADOS CADENAS/DESCUENTOS/SUPER EXTRA DN/SUPER XTRA
PANAMA/HERRERA/SUPERMERCADOS CADENAS/HIPERMERCADO/MACHETAZO DN/MACHETAZO;PANAMA/HERRERA/SUPERMERCADOS CADENAS/HIPERMERCADO/MACHETAZO DN/MACHETAZO
PANAMA/HERRERA/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER 99 DN/SUPER 99;PANAMA/HERRERA/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER 99 DN/SUPER 99
PANAMA/HERRERA/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER CARNES DN/SUPER CARNES;PANAMA/HERRERA/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER CARNES DN/SUPER CARNES
PANAMA/LOS SANTOS/SUPERMERCADOS CADENAS/DESCUENTOS/GRUPO REY DN/MR PRECIO;PANAMA/LOS SANTOS/SUPERMERCADOS CADENAS/DESCUENTOS/GRUPO REY DN/MR PRECIO
PANAMA/LOS SANTOS/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER CARNES DN/SUPER CARNES;PANAMA/LOS SANTOS/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER CARNES DN/SUPER CARNES
PANAMA/LOS SANTOS/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER EXTRA DN/SUPER XTRA;PANAMA/LOS SANTOS/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER EXTRA DN/SUPER XTRA
PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY DN/METRO PLUS;PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY DN/METRO PLUS
PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/DESCUENTOS/GRUPO REY DN/MR PRECIO;PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/DESCUENTOS/GRUPO REY DN/MR PRECIO
PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/DESCUENTOS/MACHETAZO DN/MACHETAZO;PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/DESCUENTOS/MACHETAZO DN/MACHETAZO
PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/HIPERMERCADO/MACHETAZO DN/MACHETAZO;PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/HIPERMERCADO/MACHETAZO DN/MACHETAZO
PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/HIPERMERCADO/SUPER EXTRA DN/SUPER XTRA;PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/HIPERMERCADO/SUPER EXTRA DN/SUPER XTRA
PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY;PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY
PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER 99 DN/SUPER 99;PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER 99 DN/SUPER 99
PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER CARNES DN/SUPER CARNES;PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER CARNES DN/SUPER CARNES
PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER EXTRA DN/SUPER XTRA;PANAMA/PANAMA OESTE/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER EXTRA DN/SUPER XTRA
PANAMA/PANAMA/SUPERMERCADOS CADENAS/CLUB/SUPER 99 DN/SUPER 99;PANAMA/PANAMA/SUPERMERCADOS CADENAS/CLUB/SUPER 99 DN/SUPER 99
PANAMA/PANAMA/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY DN/METRO PLUS;PANAMA/PANAMA/SUPERMERCADOS CADENAS/CONVENIENCIA/GRUPO REY DN/METRO PLUS
PANAMA/PANAMA/SUPERMERCADOS CADENAS/DESCONOCIDO/GRUPO REY DN/METRO PLUS;PANAMA/PANAMA/SUPERMERCADOS CADENAS/DESCONOCIDO/GRUPO REY DN/METRO PLUS
PANAMA/PANAMA/SUPERMERCADOS CADENAS/DESCUENTOS/GRUPO REY DN/MR PRECIO;PANAMA/PANAMA/SUPERMERCADOS CADENAS/DESCUENTOS/GRUPO REY DN/MR PRECIO
PANAMA/PANAMA/SUPERMERCADOS CADENAS/DESCUENTOS/SUPER EXTRA DN/SUPER XTRA;PANAMA/PANAMA/SUPERMERCADOS CADENAS/DESCUENTOS/SUPER EXTRA DN/SUPER XTRA
PANAMA/PANAMA/SUPERMERCADOS CADENAS/HIPERMERCADO/MACHETAZO DN/MACHETAZO;PANAMA/PANAMA/SUPERMERCADOS CADENAS/HIPERMERCADO/MACHETAZO DN/MACHETAZO
PANAMA/PANAMA/SUPERMERCADOS CADENAS/HIPERMERCADO/SUPER EXTRA DN/SUPER XTRA;PANAMA/PANAMA/SUPERMERCADOS CADENAS/HIPERMERCADO/SUPER EXTRA DN/SUPER XTRA
PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY;PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY
PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/MACHETAZO DN/MACHETAZO;PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/MACHETAZO DN/MACHETAZO
PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER 99 DN/SUPER 99;PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER 99 DN/SUPER 99
PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER EXTRA DN/SUPER XTRA;PANAMA/PANAMA/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER EXTRA DN/SUPER XTRA
PANAMA/VERAGUAS/SUPERMERCADOS CADENAS/HIPERMERCADO/MACHETAZO DN/MACHETAZO;PANAMA/VERAGUAS/SUPERMERCADOS CADENAS/HIPERMERCADO/MACHETAZO DN/MACHETAZO
PANAMA/VERAGUAS/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY;PANAMA/VERAGUAS/SUPERMERCADOS CADENAS/SUPERMERCADOS/GRUPO REY DN/REY
PANAMA/VERAGUAS/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER 99 DN/SUPER 99;PANAMA/VERAGUAS/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER 99 DN/SUPER 99
PANAMA/VERAGUAS/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER CARNES DN/SUPER CARNES;PANAMA/VERAGUAS/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER CARNES DN/SUPER CARNES
PANAMA/VERAGUAS/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER EXTRA DN/SUPER XTRA;PANAMA/VERAGUAS/SUPERMERCADOS CADENAS/SUPERMERCADOS/SUPER EXTRA DN/SUPER XTRA
PANAMA/BOCAS DEL TORO/AUTOSERVICIOS/AUTOSERVICIOS/AUTOSERVICIOS/AUTOSERVICIOS;PANAMA/BOCAS DEL TORO/AUTOSERVICIOS/AUTOSERVICIOS/AUTOSERVICIOS/AUTOSERVICIOS
PANAMA/BOCAS DEL TORO/TRADICIONALES/TRADICIONALES/TRADICIONALES/TRADICIONALES;PANAMA/BOCAS DEL TORO/TRADICIONALES/TRADICIONALES/TRADICIONALES/TRADICIONALES
PANAMA/CHIRIQUI/AUTOSERVICIOS/AUTOSERVICIOS/AUTOSERVICIOS/AUTOSERVICIOS;PANAMA/CHIRIQUI/AUTOSERVICIOS/AUTOSERVICIOS/AUTOSERVICIOS/AUTOSERVICIOS
PANAMA/CHIRIQUI/TRADICIONALES/TRADICIONALES/TRADICIONALES/TRADICIONALES;PANAMA/CHIRIQUI/TRADICIONALES/TRADICIONALES/TRADICIONALES/TRADICIONALES
PANAMA/COCLE/AUTOSERVICIOS/AUTOSERVICIOS/AUTOSERVICIOS/AUTOSERVICIOS;PANAMA/COCLE/AUTOSERVICIOS/AUTOSERVICIOS/AUTOSERVICIOS/AUTOSERVICIOS
PANAMA/COCLE/TRADICIONALES/TRADICIONALES/TRADICIONALES/TRADICIONALES;PANAMA/COCLE/TRADICIONALES/TRADICIONALES/TRADICIONALES/TRADICIONALES
