MARCA;MARCA_GN
ANDINO/BARRA/SIN SABORANDINO/BARRA/500 O MAS GRS;ANDINO
ARAUCANO/BARRA/SIN SABOR;ARAUCANO
ARAUCANO/BARRA/SIN SABORARAUCANO/BARRA/0 25 GRS;ARAUCANO
ARAUCANO/BARRA/SIN SABORARAUCANO/BARRA/250 374 GRS;ARAUCANO
ARAUCANO/BARRA/SIN SABORARAUCANO/BARRA/375 499 GRS;ARAUCANO
ARAUCANO/BARRA/SIN SABORARAUCANO/BARRA/500 O MAS GRS;ARAUCANO
ARROYAVE/BARRA/SIN SABOR;ARROYAVE
ARROYAVE/BARRA/SIN SABORARROYAVE/BARRA/500 O MAS GRS;ARROYAVE
AUTENTICO HUILENSE/BARRA/SIN SABOR;AUTENTICO HUILENSE
AUTENTICO HUILENSE/BARRA/SIN SABORAUTENTICO HUILENSE/BARRA/250 374 GRS;AUTENTICO HUILENSE
AUTENTICO HUILENSE/BARRA/SIN SABORAUTENTICO HUILENSE/BARRA/500 O MAS GRS;AUTENTICO HUILENSE
BLOCK/BARRA/SIN SABOR;BLOCK
BLOCK/BARRA/SIN SABORBLOCK/BARRA/126 249 GRS;BLOCK
BOLU/BARRA/OTROS SABORES;BOLU
BOLU/BARRA/OTROS SABORESBOLU/BARRA/0 25 GRS;BOLU
BOLU/BARRA/OTROS SABORESBOLU/BARRA/500 O MAS GRS;BOLU
BOLU/BARRA/SIN SABOR;BOLU
BOLU/BARRA/SIN SABORBOLU/BARRA/0 25 GRS;BOLU
BOLU/BARRA/SIN SABORBOLU/BARRA/250 374 GRS;BOLU
BON AMI/BARRA/SIN SABOR;BON AMI
BON AMI/BARRA/SIN SABORBON AMI/BARRA/250 374 GRS;BON AMI
BON AMI/BARRA/SIN SABORBON AMI/BARRA/500 O MAS GRS;BON AMI
BOYACENSE/BARRA/CLAVOS Y CANELA;BOYACENSE
BOYACENSE/BARRA/CLAVOS Y CANELABOYACENSE/BARRA/250 374 GRS;BOYACENSE
BOYACENSE/BARRA/CLAVOS Y CANELABOYACENSE/BARRA/500 O MAS GRS;BOYACENSE
BOYACENSE/BARRA/SIN SABOR;BOYACENSE
BOYACENSE/BARRA/SIN SABORBOYACENSE/BARRA/250 374 GRS;BOYACENSE
BOYACENSE/BARRA/SIN SABORBOYACENSE/BARRA/500 O MAS GRS;BOYACENSE
